term,action,risk_category,match_field,match_type,source_type,note,enabled
B000FQTRS0,BLOCK,own_penalty_product,asin,exact,own_penalty_case,"PH-D001; source: 自社SGペナルティ・削除事例; source date: date_not_recorded; regulatory position: PH固有禁止ではなく市場横断の当社実害ルール; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
薬用加美乃素S-II,BLOCK,own_penalty_product,title,contains,own_penalty_case,"PH-D002; source: 自社SGペナルティ・削除事例; source date: date_not_recorded; regulatory position: 当社実害商品の明示名; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
薬用加美乃素S-2,BLOCK,own_penalty_product,title,contains,own_penalty_case,"PH-D003; source: 自社SGペナルティ・削除事例; source date: date_not_recorded; regulatory position: 当社実害商品の表記揺れ; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
加美乃素S-II,BLOCK,own_penalty_product,title,contains,own_penalty_case,"PH-D004; source: 自社SGペナルティ・削除事例; source date: date_not_recorded; regulatory position: 当社実害商品の明示名; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
加美乃素S-2,BLOCK,own_penalty_product,title,contains,own_penalty_case,"PH-D005; source: 自社SGペナルティ・削除事例; source date: date_not_recorded; regulatory position: 当社実害商品の表記揺れ; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
Kaminomoto S-II,BLOCK,own_penalty_product,title,contains,own_penalty_case,"PH-D006; source: 自社SGペナルティ・削除事例; source date: date_not_recorded; regulatory position: 当社実害商品の英語表記; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
Kaminomoto S-2,BLOCK,own_penalty_product,title,contains,own_penalty_case,"PH-D007; source: 自社SGペナルティ・削除事例; source date: date_not_recorded; regulatory position: 当社実害商品の英語表記揺れ; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
処方薬,BLOCK,medical_or_therapeutic,title,contains,shopee_policy,"PH-D008; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 明示的な処方薬語; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
prescription medicine,BLOCK,medical_or_therapeutic,title,contains,shopee_policy,"PH-D009; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 本体ならBLOCKだがケース等を考慮して初回REVIEW; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
prescription drug,BLOCK,medical_or_therapeutic,title,contains,shopee_policy,"PH-D010; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 本体ならBLOCKだが収納等を考慮; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
一般用医薬品,BLOCK,medical_or_therapeutic,title,contains,internal_rule,"PH-D011; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 現地ライセンス必要商品の当社運用BLOCK; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
第1類医薬品,BLOCK,medical_or_therapeutic,title,contains,internal_rule,"PH-D012; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 明示的な日本OTC区分; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
第2類医薬品,BLOCK,medical_or_therapeutic,title,contains,internal_rule,"PH-D013; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 明示的な日本OTC区分; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
